en;yo
te;tu
o;el
mi;nos
ti;vos
igen;si
nem;no
jo;bueno
rossz;malo
nagy;grande
kis;pequeno
sok;mucho
csak;solo
nap;sol
hold;luna
tenger;mar
viz;agua
szel;aire
feny;luz
kez;mano
lab;pie
szem;ojo
szaj;boca
orr;nariz
ember;hombre
no;mujer
gyerek;nino
kutya;perro
macska;gato
hal;pez
madar;ave
haz;casa
ajto;puerta
ut;camino
varos;ciudad
van;hay
megy;ir
jon;venir
ad;dar
vesz;tomar
lat;ver
hall;oir
itt;aqui
ott;alli
ma;hoy
holnap;manana
tegnap;ayer
most;ahora
mar;ya
es;y
vagy;o
ha;si
yo;en
tu;te
el;o
nos;mi
vos;ti
si;igen
no;nem
bueno;jo
malo;rossz
grande;nagy
pequeno;kis
mucho;sok
solo;csak
sol;nap
luna;hold
mar;tenger
agua;viz
aire;szel
luz;feny
mano;kez
pie;lab
ojo;szem
boca;szaj
nariz;orr
hombre;ember
mujer;no
nino;gyerek
perro;kutya
gato;macska
pez;hal
ave;madar
casa;haz
puerta;ajto
camino;ut
ciudad;varos
hay;van
ir;megy
venir;jon
dar;ad
tomar;vesz
ver;lat
oir;hall
aqui;itt
alli;ott
hoy;ma
manana;holnap
ayer;tegnap
ahora;most
ya;mar
y;es
o;vagy
si;ha
